"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
"labware_11","A1","labware_4","D1, D12, E1, E12, F1, F12, G1, G12","200","0","43","Filling outer wells with WATER"
"labware_11","A1","labware_4","H1, H2, H3, H4, H5, H6, H7, H8","200","0","44","Filling outer wells with WATER"
"labware_11","A1","labware_4","H9, H10, H11, H12","200","0","45","Filling outer wells with WATER"
">PlateMap","","","","","","",""
"labware_1","(empty)","NA","NA","NA","NA","NA","NA"
"labware_2","(empty)","NA","NA","NA","NA","NA","NA"
"labware_3","(empty)","NA","NA","NA","NA","NA","NA"
"labware_4","96-well_A","NA","NA","NA","NA","NA","NA"
"labware_5","(empty)","NA","NA","NA","NA","NA","NA"
"labware_6","(empty)","NA","NA","NA","NA","NA","NA"
"labware_7","tip","NA","NA","NA","NA","NA","NA"
"labware_8","15_Falcon_spare","NA","NA","NA","NA","NA","NA"
"labware_9","15_Falcon_main","NA","NA","NA","NA","NA","NA"
"labware_10","15ml_Falcon_stock","NA","NA","NA","NA","NA","NA"
"labware_11","Solvent","NA","NA","NA","NA","NA","NA"
"labware_12","TRASH","NA","NA","NA","NA","NA","NA"
